FID,Id,Flood_poi,NEAR_FID,NEAR_DIST,DEM_FINAL,Slope,Aspect,Curvature
27,0,1,8,444.420592397999997,3505.8000488,23.1835995,236.6089935,-2.5030501
28,0,1,12,454.828712709000001,3433.9499512,23.9456997,314.0729980,0.0376810
29,0,1,8,394.040781094000010,3297.4599609,44.5912018,324.9299927,1.6580300
30,0,1,5,371.973415726999974,1960.4200439,36.2728004,159.5449982,-2.1007900
31,0,1,5,482.091162297999972,2318.7099609,32.6335983,320.1709900,0.0105130
32,0,1,12,0.000000000116415,3194.9599609,38.5793991,228.6369934,-1.3542300
33,0,1,8,0.000000000116415,2944.0300293,35.2062988,282.0690002,1.7834500
34,0,1,12,0.000000000000000,3031.7600098,40.4376984,230.8500061,-0.3455510
35,0,1,8,0.000000000000000,2813.1699219,23.4309998,337.8810120,-3.3758399
36,0,1,8,676.652115403000039,3086.4199219,43.6029015,87.8139038,3.6565900
37,0,1,8,411.842925459000014,3026.8999023,39.7514000,141.4069977,1.0066500
38,0,1,8,0.000000000232831,2832.9399414,24.3311996,129.4060059,0.0393713
39,0,1,8,423.618796433999989,3090.7500000,44.6581001,289.5199890,-1.4797000
40,0,1,8,0.000000000000000,2840.0300293,36.9677010,248.4839935,-1.2028000
41,0,1,8,0.000000000000000,2761.3000488,15.6215000,264.5929871,1.2742200
42,0,1,8,454.705744225999979,3101.8898926,34.1427994,336.9670105,0.3310580
43,0,1,8,0.000000000520625,2730.0000000,30.4797001,42.7309990,-2.0220599
44,0,1,8,0.000000000520625,2730.0000000,30.4797001,42.7309990,-2.0220599
45,0,1,8,0.000000000000000,2558.2800293,19.4794006,314.5530090,-2.2310500
46,0,1,7,0.000000000000000,2502.2099609,32.9275017,297.5880127,0.4706340
47,0,1,8,0.000000000116415,2606.8200684,43.5943985,308.2539978,-1.2343301
48,0,1,7,0.000000000116415,2860.7800293,25.8369007,310.0329895,-5.7392001
49,0,1,7,377.871207884999990,2656.5800781,51.2546997,258.9270020,0.5498980
50,0,1,7,0.000000000000000,2390.7700195,32.3890991,289.7650146,0.1513020
51,0,1,7,435.751512304000016,2509.6699219,36.3004990,292.7260132,-3.9446499
52,0,1,7,0.000000000000000,2464.9799805,30.7649994,297.6210022,-1.2612000
53,0,1,8,405.327847124000016,2540.5600586,6.6685300,64.9160004,0.0736793
54,0,1,7,414.466636001999973,2838.4399414,56.3380013,237.0670013,1.4307100
55,0,1,7,469.806172279999998,2215.8701172,19.3143005,297.8030090,-0.7416760
56,0,1,7,0.000000000465661,1915.4200439,49.7611008,8.7990999,5.5051298
57,0,1,7,471.599373920999994,2184.6201172,35.4053993,302.6250000,-2.6231301
58,0,1,7,0.000000000116415,2112.2399902,19.0631008,28.7625008,-0.4446530
59,0,1,7,0.000000000479993,2201.6101074,53.1077003,151.6569977,-0.0999803
60,0,1,7,752.961797133999994,2677.6599121,57.9123993,235.2120056,-2.2600999
61,0,1,7,523.403545047999955,2388.8100586,36.7440987,302.9590149,1.3375100
62,0,1,7,0.000000000116415,2313.6899414,38.5513992,165.3600006,-0.4409550
63,0,1,7,396.475591450000024,2297.1398926,45.5205002,208.7010040,0.7365520
64,0,1,7,525.676228723999998,1159.9899902,6.3459301,115.1370010,-0.0846086
65,0,1,5,0.000000000479993,1159.0000000,20.4568996,9.2913704,-0.1482380
66,0,1,5,0.000000000000000,1141.6500244,8.9289999,223.0570068,-0.2017590
67,0,1,5,0.000000000000000,1189.4499512,13.8809996,338.1629944,-0.0770617
68,0,1,5,0.000000000000000,1182.9000244,23.6980991,236.6510010,-0.5405780
69,0,1,20,0.000000000000000,1299.0999756,29.2229004,236.5059967,1.7910800
70,0,1,5,468.808320528000024,1242.7800293,22.2255993,235.6109924,-1.8356700
71,0,1,20,0.000000000000000,1367.9399414,41.8065987,168.8309937,1.0893000
72,0,1,5,0.000000000479993,1368.1600342,21.6341000,209.7409973,-0.2562970
73,0,1,5,0.000000000000000,1410.5200195,19.0736008,173.4100037,1.0678800
74,0,1,5,0.000000000479993,1314.6400146,21.6630993,180.9290009,-0.0547592
75,0,1,5,47.689793629900002,1332.0300293,23.8558998,200.6640015,-0.6932720
76,0,1,5,47.689793629900002,1332.0300293,23.8558998,200.6640015,-0.6932720
77,0,1,5,0.000000000000000,1408.4899902,20.0888004,134.8209991,3.3478899
78,0,1,5,0.000000000000000,1408.4899902,20.0888004,134.8209991,3.3478899
79,0,1,5,0.000000000000000,1370.6800537,47.2322998,337.5690002,-0.8060590
80,0,1,5,462.989243767999994,1313.4699707,16.2063007,68.7129974,1.6243401
81,0,1,5,389.320073227000023,1486.8900146,36.4724007,17.0606003,0.4506490
82,0,1,5,0.000000000520625,1278.7800293,14.0400000,186.6959991,0.6224400
83,0,1,5,517.166470775999983,1509.7700195,29.5363007,318.4989929,-0.1828250
84,0,1,5,0.000000000116415,1326.5899658,22.0804996,288.5799866,-0.7309810
85,0,1,5,495.858737850000011,1657.8199463,33.8456993,289.3320007,0.1726120
86,0,1,5,0.000000000000000,1312.0699463,16.1550007,49.0890007,-1.8966700
87,0,1,19,0.000000000116415,1512.4599609,32.3228989,9.7198601,-1.1277699
88,0,1,19,0.000000000116415,1512.4599609,32.3228989,9.7198601,-1.1277699
89,0,1,19,0.000000000000000,1367.0000000,3.6561100,146.2100067,-0.9981480
90,0,1,5,786.922621857999957,1822.3599854,41.6882019,138.7120056,-0.0000000
91,0,1,7,0.000000000000000,1582.3100586,17.7192001,328.7980042,1.2095799
92,0,1,7,0.000000000000000,1509.6899414,53.6174011,275.8569946,-1.5362600
93,0,1,7,0.000000000465661,1644.4599609,8.5311003,271.0530090,-3.3757200
94,0,1,7,0.000000000465661,1688.1300049,32.5568008,164.0970001,-1.0441200
95,0,1,7,0.000000000000000,1750.5999756,11.1118002,262.9549866,-3.5983601
96,0,1,7,0.000000000465661,1915.4200439,49.7611008,8.7990999,5.5051298
